Column,Value,Count
Unnamed: 0,506,1
Unnamed: 0,504,1
Unnamed: 0,503,1
Unnamed: 0,499,1
Unnamed: 0,528,1
Unnamed: 0,530,1
Unnamed: 0,531,1
Unnamed: 0,532,1
Unnamed: 0,556,1
Unnamed: 0,555,1
Unnamed: 0,554,1
Unnamed: 0,553,1
Unnamed: 0,552,1
Unnamed: 0,547,1
Unnamed: 0,546,1
Unnamed: 0,545,1
Unnamed: 0,543,1
Unnamed: 0,542,1
Unnamed: 0,541,1
Unnamed: 0,540,1
Unnamed: 0,539,1
Unnamed: 0,538,1
Unnamed: 0,537,1
Unnamed: 0,497,1
Unnamed: 0,496,1
Unnamed: 0,494,1
Unnamed: 0,459,1
Unnamed: 0,455,1
Unnamed: 0,453,1
Unnamed: 0,451,1
Unnamed: 0,450,1
Unnamed: 0,449,1
Unnamed: 0,448,1
Unnamed: 0,437,1
Unnamed: 0,434,1
Unnamed: 0,433,1
Unnamed: 0,430,1
Unnamed: 0,427,1
Unnamed: 0,426,1
Unnamed: 0,425,1
Unnamed: 0,424,1
Unnamed: 0,423,1
Unnamed: 0,458,1
Unnamed: 0,463,1
Unnamed: 0,490,1
Unnamed: 0,466,1
Unnamed: 0,489,1
Unnamed: 0,487,1
Unnamed: 0,486,1
Unnamed: 0,485,1
Unnamed: 0,482,1
Unnamed: 0,480,1
Unnamed: 0,478,1
Unnamed: 0,477,1
Unnamed: 0,476,1
Unnamed: 0,474,1
Unnamed: 0,473,1
Unnamed: 0,472,1
Unnamed: 0,471,1
Unnamed: 0,468,1
Unnamed: 0,467,1
Unnamed: 0,269,1
Unnamed: 0,268,1
Unnamed: 0,267,1
Unnamed: 0,86,1
Unnamed: 0,94,1
Unnamed: 0,92,1
Unnamed: 0,91,1
Unnamed: 0,90,1
Unnamed: 0,89,1
Unnamed: 0,88,1
Unnamed: 0,87,1
Unnamed: 0,85,1
Unnamed: 0,131,1
Unnamed: 0,84,1
Unnamed: 0,83,1
Unnamed: 0,82,1
Unnamed: 0,81,1
Unnamed: 0,80,1
Unnamed: 0,77,1
Unnamed: 0,76,1
Unnamed: 0,95,1
Unnamed: 0,98,1
Unnamed: 0,99,1
Unnamed: 0,100,1
Unnamed: 0,128,1
Unnamed: 0,127,1
Unnamed: 0,126,1
Unnamed: 0,122,1
Unnamed: 0,121,1
Unnamed: 0,120,1
Unnamed: 0,119,1
Unnamed: 0,117,1
Unnamed: 0,112,1
Unnamed: 0,108,1
Unnamed: 0,106,1
Unnamed: 0,105,1
Unnamed: 0,104,1
Unnamed: 0,102,1
Unnamed: 0,101,1
Unnamed: 0,75,1
Unnamed: 0,74,1
Unnamed: 0,72,1
Unnamed: 0,39,1
Unnamed: 0,32,1
Unnamed: 0,30,1
Unnamed: 0,29,1
Unnamed: 0,27,1
Unnamed: 0,26,1
Unnamed: 0,25,1
Unnamed: 0,23,1
Unnamed: 0,22,1
Unnamed: 0,21,1
Unnamed: 0,14,1
Unnamed: 0,13,1
Unnamed: 0,11,1
Unnamed: 0,8,1
Unnamed: 0,7,1
Unnamed: 0,4,1
Unnamed: 0,36,1
Unnamed: 0,40,1
Unnamed: 0,67,1
Unnamed: 0,42,1
Unnamed: 0,66,1
Unnamed: 0,65,1
Unnamed: 0,64,1
Unnamed: 0,59,1
Unnamed: 0,58,1
Unnamed: 0,57,1
Unnamed: 0,54,1
Unnamed: 0,53,1
Unnamed: 0,52,1
Unnamed: 0,51,1
Unnamed: 0,49,1
Unnamed: 0,48,1
Unnamed: 0,45,1
Unnamed: 0,44,1
Unnamed: 0,43,1
Unnamed: 0,130,1
Unnamed: 0,132,1
Unnamed: 0,265,1
Unnamed: 0,216,1
Unnamed: 0,234,1
Unnamed: 0,227,1
Unnamed: 0,226,1
Unnamed: 0,222,1
Unnamed: 0,221,1
Unnamed: 0,218,1
Unnamed: 0,217,1
Unnamed: 0,215,1
Unnamed: 0,133,1
Unnamed: 0,213,1
Unnamed: 0,207,1
Unnamed: 0,206,1
Unnamed: 0,202,1
Unnamed: 0,201,1
Unnamed: 0,200,1
Unnamed: 0,198,1
Unnamed: 0,238,1
Unnamed: 0,239,1
Unnamed: 0,241,1
Unnamed: 0,242,1
Unnamed: 0,264,1
Unnamed: 0,262,1
Unnamed: 0,261,1
Unnamed: 0,260,1
Unnamed: 0,259,1
Unnamed: 0,258,1
Unnamed: 0,255,1
Unnamed: 0,254,1
Unnamed: 0,253,1
Unnamed: 0,250,1
Unnamed: 0,249,1
Unnamed: 0,247,1
Unnamed: 0,246,1
Unnamed: 0,245,1
Unnamed: 0,243,1
Unnamed: 0,197,1
Unnamed: 0,196,1
Unnamed: 0,193,1
Unnamed: 0,165,1
Unnamed: 0,158,1
Unnamed: 0,157,1
Unnamed: 0,155,1
Unnamed: 0,154,1
Unnamed: 0,153,1
Unnamed: 0,151,1
Unnamed: 0,149,1
Unnamed: 0,144,1
Unnamed: 0,143,1
Unnamed: 0,142,1
Unnamed: 0,141,1
Unnamed: 0,138,1
Unnamed: 0,136,1
Unnamed: 0,135,1
Unnamed: 0,134,1
Unnamed: 0,160,1
Unnamed: 0,167,1
Unnamed: 0,192,1
Unnamed: 0,168,1
Unnamed: 0,189,1
Unnamed: 0,188,1
Unnamed: 0,187,1
Unnamed: 0,186,1
Unnamed: 0,185,1
Unnamed: 0,184,1
Unnamed: 0,180,1
Unnamed: 0,177,1
Unnamed: 0,176,1
Unnamed: 0,175,1
Unnamed: 0,174,1
Unnamed: 0,172,1
Unnamed: 0,171,1
Unnamed: 0,170,1
Unnamed: 0,169,1
Unnamed: 0,557,1
Unnamed: 0,560,1
Unnamed: 0,1077,1
Unnamed: 0,907,1
Unnamed: 0,917,1
Unnamed: 0,914,1
Unnamed: 0,913,1
Unnamed: 0,911,1
Unnamed: 0,910,1
Unnamed: 0,909,1
Unnamed: 0,908,1
Unnamed: 0,906,1
Unnamed: 0,892,1
Unnamed: 0,905,1
Unnamed: 0,904,1
Unnamed: 0,903,1
Unnamed: 0,902,1
Unnamed: 0,901,1
Unnamed: 0,900,1
Unnamed: 0,894,1
Unnamed: 0,918,1
Unnamed: 0,919,1
Unnamed: 0,921,1
Unnamed: 0,922,1
Unnamed: 0,940,1
Unnamed: 0,939,1
Unnamed: 0,937,1
Unnamed: 0,935,1
Unnamed: 0,934,1
Unnamed: 0,933,1
Unnamed: 0,932,1
Unnamed: 0,931,1
Unnamed: 0,930,1
Unnamed: 0,929,1
Unnamed: 0,927,1
Unnamed: 0,926,1
Unnamed: 0,925,1
Unnamed: 0,924,1
Unnamed: 0,923,1
Unnamed: 0,893,1
Unnamed: 0,886,1
Unnamed: 0,562,1
Unnamed: 0,843,1
Unnamed: 0,857,1
Unnamed: 0,856,1
Unnamed: 0,854,1
Unnamed: 0,853,1
Unnamed: 0,851,1
Unnamed: 0,845,1
Unnamed: 0,844,1
Unnamed: 0,840,1
Unnamed: 0,882,1
Unnamed: 0,835,1
Unnamed: 0,832,1
Unnamed: 0,830,1
Unnamed: 0,829,1
Unnamed: 0,828,1
Unnamed: 0,827,1
Unnamed: 0,826,1
Unnamed: 0,858,1
Unnamed: 0,860,1
Unnamed: 0,861,1
Unnamed: 0,862,1
Unnamed: 0,881,1
Unnamed: 0,880,1
Unnamed: 0,877,1
Unnamed: 0,876,1
Unnamed: 0,874,1
Unnamed: 0,873,1
Unnamed: 0,872,1
Unnamed: 0,871,1
Unnamed: 0,870,1
Unnamed: 0,869,1
Unnamed: 0,867,1
Unnamed: 0,866,1
Unnamed: 0,865,1
Unnamed: 0,864,1
Unnamed: 0,863,1
Unnamed: 0,941,1
Unnamed: 0,945,1
Unnamed: 0,947,1
Unnamed: 0,1019,1
Unnamed: 0,1038,1
Unnamed: 0,1037,1
Unnamed: 0,1036,1
Unnamed: 0,1034,1
Unnamed: 0,1033,1
Unnamed: 0,1024,1
Unnamed: 0,1023,1
Unnamed: 0,1017,1
Unnamed: 0,948,1
Unnamed: 0,1016,1
Unnamed: 0,1014,1
Unnamed: 0,1013,1
Unnamed: 0,1012,1
Unnamed: 0,1011,1
Unnamed: 0,1010,1
Unnamed: 0,1009,1
Unnamed: 0,1042,1
Unnamed: 0,1043,1
